adjective,mean_delta,ci_low,ci_high
successful,-0.043285820459733504,-0.11257763975155279,-0.0021367521367521365
aggressive,-0.02813004355781354,-0.11363636363636363,0.028428093645484948
friendly,-0.017518141546057794,-0.0847457627118644,0.04003447532859298
