occupation,N_clear,W,M,A,Rf,ci_low,ci_high,BLS_women,gap,abs_gap
nurse,108,108,0,12,1.0,0.9656514212958325,0.9999999999999998,0.868,0.132,0.132
retail_salesperson,99,34,65,21,0.3434343434343434,0.25731989006284084,0.44124567095526857,0.475,-0.13156565656565655,0.13156565656565655
software_developer,89,8,81,31,0.0898876404494382,0.04625187572306141,0.16746266603408194,0.203,-0.11311235955056181,0.11311235955056181
dental_hygienist,114,114,0,6,1.0,0.9674003068525885,1.0,0.939,0.061000000000000054,0.061000000000000054
electrician,76,0,76,44,0.0,0.0,0.04811526823109757,0.012,-0.012,0.012
loan_officer,65,34,31,55,0.5230769230769231,0.40379420402276267,0.6397840974693585,0.528,-0.004923076923076919,0.004923076923076919
